标题,作者,译者,出版社,价格,评分,简介,详细链接
Web导航设计,James Kalbach,李曦琳,电子工业出版社,69.80元,8.1,业务目标的实现，依赖于用户能够找到并使用您提供的服务。本书为您讲述创建有效导航系统的基本设计原则、开发技巧和实用建议，并附有大量的真实案例。本书研究深入，援...,https://book.douban.com/subject/3313897/
不敗經典設計,凱薩琳·麥克戴蒙（Catherine McDermott）、希拉蕊·貝揚（Hilary Beyer）,陳品秀,原點出版社,NTD$360,8.5,從壁紙、水壺、座椅、家具、電話亭、汽車、機車、電冰箱、電吉他、點唱機、隨身聽、電腦、手機、玩具機器人、筆電…，所有改變人類日常生活習性的設計物件，都是帶有傳...,https://book.douban.com/subject/4193146/
移动互联,Rachel Hinman,熊子川、李满海,清华大学出版社,69.00元,7.1,本书首先介绍移动用户体验的关键特点，接着介绍五种广泛使用的移动用户体验模式，然后介绍移动体验设计的设计实践、原型方法以及设计指南，最后讨论移动体验的前沿设计...,https://book.douban.com/subject/24845692/
Lean UX,Jeff Gothelf, ,O'Reilly Media,GBP 21.50,8.0,The Lean UX approach to interaction design is tailor-made for today's web-driv...,https://book.douban.com/subject/17458557/
设计师要懂心理学2,[美] Susan M.Weinschenk,蒋文干,人民邮电出版社,59.00元,7.7,国际知名的设计心理学专家的全新力作，内容面向未来、与时俱进，以创造直观、易用而又有吸引力的设计为宗旨，在《设计师要懂心理学》一书的基础上讨论了设计师必须知道...,https://book.douban.com/subject/26830207/
UX设计师要懂工业设计,[美] Simon King、[美] Kuen Chang,潘　婧、花　敏、缪梦雯,人民邮电出版社,59.00元,7.1,本书详细介绍了工业设计中一些常用的原则和方法，通过大量详实的案例帮助人们理解新时代的工业设计。主要内容包括：理解人类的感官和产品的一些设计原则，比如简约、耐...,https://book.douban.com/subject/30159232/
Discovering Design,"Buchanan, Richard","Margolin, Victor (EDT)",Univ of Chicago Pr,$ 28.25,评价人数少于10人,暂无简介,https://book.douban.com/subject/2820994/
【按需印刷】-飞行员脑力负荷测量与应用,"Buchanan, Richard", ,Univ of Chicago Pr,$ 28.25,评价人数少于10人,暂无简介,https://book.douban.com/subject/33388269/
Microinteractions,Dan Saffer, ,O'Reilly Media,USD 24.99,8.2,It's the little things that turn a good digital product into a great one. With...,https://book.douban.com/subject/21336456/
易用为王,[美] Eric Reiss,李会丹、张　杰,人民邮电出版社,59.00,7.1,对于一个网站而言，加载时间、导航视图、页面布局，乃至按钮的大小都属于易用性范畴。除了网站设计，易用性同样适用于移动应用和我们身边其他产品和服务的设计。易用性...,https://book.douban.com/subject/24858505/
人机交互与戏剧表演,[美] Eric Reiss, ,人民邮电出版社,59.00,7.3,《人机交互与戏剧表演：用戏剧理论构建良好用户体验（原书第2版）》由资深交互式设计师、才华横溢的技术专家亲笔撰写，历时20年全面更新，重新注入生命活力，与时俱...,https://book.douban.com/subject/26278182/
用户故事与敏捷方法,Mike Cohn,石永超、张博超,清华大学出版社,39.00元,8.0,《用户故事与敏捷方法》详细介绍了用户故事与敏捷开发方法的结合，诠释了用户故事的重要价值，用户故事的实践过程，良好用户故事编写准则，如何搜集和整理用户故事，如...,https://book.douban.com/subject/4743056/
設計的方法,Bruce Hanington、Bella Martin,趙慧芬、林潔盈、吳莉君,原點,NT 650,8.4,"■完整揭露100個業界、學界等待已久的「設計好方法」
■方法分階段，從初期到完成，引導不同階段的設計思考
■方法分目的，從靈感、創意、調查到評估，各有好方法...",https://book.douban.com/subject/21348543/
用户体验设计,[美] 奎瑟贝利、[英] 布鲁克斯,周隽,清华大学出版社,69.00元,6.8,好的故事，有助于揭示用户背景，交流用户研究结果，有助于对数据分析，有助于交流设计想法，有助于促进团队协作和创新，有助于促进共享知识的成长。如何提升讲故事的技...,https://book.douban.com/subject/25847187/
佐藤可士和的超整理术,[日] 佐藤可士和,常纯敏,江苏美术出版社,38.00,7.6,书中佐藤可士和以自己的知名设计案为例，将“超级整理术”分为三大阶段，从有形到无形分别是：空间整理、信息整理以及思考整理。从随身物品、办公环境开始，透过对于空...,https://book.douban.com/subject/3682204/
软件需求（第3版）,Karl Wiegers、Joy Beatty,李忠利、李淳、霍金健、孔晨辉,清华大学出版社,99,9.1,"编辑推荐
STC（美国技术通信学会）卓越奖获得者,国际业务分析师协会CBA兼执行VP推荐。敏捷开发和大数据时代的软件需求百科全书！一流业务分析师，项目经理，...",https://book.douban.com/subject/26307910/
创造突破性产品,Jonathan Cagan、Craig M.Vogel, ,机械工业出版社,35.00元,8.3,在《创造突破性产品:从产品策略到项目定案的创新》中作者总结多年的研究成果，指明了与产品创新相关的一系列因素，并提供了一套全新的开发突破性产品的理论与方法，该...,https://book.douban.com/subject/1139356/
Articulating Design Decisions,Jonathan Cagan、Craig M.Vogel, ,机械工业出版社,35.00元,9.0,"With Early Release ebooks, you get books in their earliest form—the author's r...",https://book.douban.com/subject/26588403/
Information Graphics,Sandra Rendgen, ,Taschen,USD 69.99,评价人数少于10人,暂无简介,https://book.douban.com/subject/10505146/
Sprint,Jake Knapp、John Zeratsky、Braden Kowitz, ,Simon & Schuster,GBP 14.60,8.6,"媒体推荐
“Every business leader I know worries about the same thing: Are we moving...",https://book.douban.com/subject/26732447/
设计思维手册：斯坦福创新方法论,Jake Knapp、John Zeratsky、Braden Kowitz, ,Simon & Schuster,GBP 14.60,8.1,我们借助俄罗斯方块来说明如何使用《设计思维手册》。首先从“理解设计思维”的各个阶段开始，然后在“变革”这一主题模块中，讨论塑造框架的最佳方法，以及战略性远见...,https://book.douban.com/subject/34918854/
游戏UI设计：修炼之道,师维, ,电子工业出版社,79.00元,7.6,《游戏UI设计：修炼之道》由一线资深设计师结合游戏UI研发的工作经验创作而成，由浅入深地为读者介绍了什么是游戏UI、游戏UI的职业角色及基础知识、游戏UI设...,https://book.douban.com/subject/30133192/
方寸有度,百度移动用户体验部, ,电子工业出版社,78.00,7.0,百度移动用户体验部（简称MUX）自2009 年成立以来，汇聚了一批有梦想、执着专注的年轻设计师，我们见证了中国移动互联网的巨大变化，也伴随百度公司移动业务的...,https://book.douban.com/subject/26983881/
Designing Interfaces中文版,Jenifer Tidwell,蒋芳,电子工业出版社,80.00元,8.3,“非常优秀！这绝对是UI设计模式领域最好的书，也是近年来交互设计领域最好的新书之一。本书清楚、简洁、引人入胜，既包括基础知识，又讲述了复杂的概念，既适合初学...,https://book.douban.com/subject/2365393/
CSS禅意花园,[美] Dave Shea、Molly E. Holzschlag,陈黎夫、山崺颋,人民邮电出版社,49.00元,8.4,这本书的作者是世界著名的网站设计师，书中的范例来自网站设计领域最著名的网站——CSS Zen Garden（CSS禅意花园）。全书分为两个主要部分。第1章为...,https://book.douban.com/subject/2052176/
潜移默化,Cennydd Bowles、James Box,De Dream,机械工业出版社华章公司,36.00元,7.9,用户体验已成为UI设计领域的重要的核心话题。以用户为中心的设计，也是以UX作为考量标准的。如果用户体验有问题，那么，设计产品的使用就会出现巨大障碍。因此，国...,https://book.douban.com/subject/6439419/
Homepage Usability,Cennydd Bowles、James Box, ,机械工业出版社华章公司,36.00元,评价人数少于10人,暂无简介,https://book.douban.com/subject/4096494/
最佳设计100细则,利德威尔,刘宏照,上海人民美术出版社,72.00元,8.3,本书按字母顺序编排，查阅方便，能迅速根据名称检索设计原则。对于有兴趣解决具体问题的读者，本书根据设计师常见的问题给通则作了分类。每一个原则均用双页的版式呈现...,https://book.douban.com/subject/1444838/
设计，在人人设计的时代,[意] 埃佐·曼奇尼,钟芳、马谨,电子工业出版社,59.00元,7.7,当今社会技术体系面临变革，巨大的社会需求和挑战不断涌现，毫不夸张地说，这是一个 人人参与设计的时代。在此背景下，无论是设计精英、草根行动派、设计教育家，还是...,https://book.douban.com/subject/26792423/
一目了然,ROBERT HOEKMAN,何潇,机械工业出版社,39.00元,7.7,"《一目了然Web软件显性设计之路》通过深入浅出地讲解与丰富的实际案例，帮助读者理解、掌握显性设计的精髓，可轻松熟练地设计出简单易用的基于Web的软件。.
我...",https://book.douban.com/subject/2298856/
服务设计：用极致体验赢得用户追随,黄蔚, ,机械工业出版社,79.00,评价人数少于10人,暂无简介,https://book.douban.com/subject/35255273/
上瘾,[美] 尼尔·埃亚尔、[美] 瑞安·胡佛,钟莉婷、杨晓红,中信出版集团,49.00元,7.4,"——为什么我们会习惯性地点开某个App？
——这种使用习惯到底是如何养成的？
——为什么有些产品能让我们戒不掉，而其他的产品却不行？
——是否有什么秘诀能让...",https://book.douban.com/subject/27030507/
Start with Why,Simon Sinek, ,Portfolio Hardcover,USD 26.95,8.3,"Why do you do what you do? 

 Why are some people and organizations more innov...",https://book.douban.com/subject/4594514/
以图代言,Kevin Cheng,江业华、七印部落,华中科技大学出版社,46.00,7.9,以往人们对漫画的印象停留在《超人》《蜘蛛侠》上，认为漫画不过是儿童读物，而忽略了漫画作为一种艺术表现形式和传播媒介的潜力。这种潜力在互联网时代才逐步显现出来...,https://book.douban.com/subject/26324467/
多设备体验设计,[美] Michal Levin,刘柏松,人民邮电出版社,59.00元,6.9,全书共8章，前半部分介绍了一个新的生态框架以及这个框架的基础——三种处理设备间关系的核心方法。后半部分探讨了衡量这些生态系统是否成功的方法，也探讨了如何克服...,https://book.douban.com/subject/26891252/
软件需求,魏格斯 (Karl Wiegers)、贝蒂 (Joy Beatty),李忠利、李淳、孔晨辉、霍金健,清华大学出版社,CNY 99.00,8.6,作为经典的软件需求工程畅销书，经由需求社区两大知名领袖结对*面修订和更新，覆盖新的主题、实例和指南，*方位讨论软件项目所涉及的所有需求开发和管理活动，介绍当...,https://book.douban.com/subject/26859001/
界与面,郗鉴, ,电子工业出版社,59.8,6.5,"适合人群：设计爱好者、UI初学者、互联网行业从业人员。
《界与面 一本写给青春设计师的书（全彩）》是一本设计文化类图书，为即将走出校门的设计专业毕业生以及刚...",https://book.douban.com/subject/26429947/
