"filename", "language", "Jupyter", "Python", "Markdown", "CSV", "YAML", "Excel", "Log", "XML", "C++", "C", "comment", "blank", "total"
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\10.py", "Python", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\11.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 12
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\12.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\2.py", "Python", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 46
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\3.py", "Python", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\4.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\5.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 13
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\6.py", "Python", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 12
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\7.py", "Python", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 13
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\8.py", "Python", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\9.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 11
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\Untitled.ipynb", "Jupyter", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\erfen.py", "Python", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\python\honer.py", "Python", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\36.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 12
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\37.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 4, 18
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\38.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\vllbc\Desktop\My_Learn\Algorithm\test\39.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 18, 7, 44
